seed,activationFunction,trainFunction,trainType,maxEpochs,learnRate,tPerformance,vPerformance
0,hardlim,learnp,inc,100,0.100,0.05098,0.12004
0,hardlim,learngd,inc,100,0.100,0.05098,0.12004
0,hardlim,learngd,inc,100,0.300,0.05098,0.12004
0,hardlim,learngd,inc,100,0.500,0.05098,0.12004
0,hardlim,learngd,inc,100,0.700,0.05098,0.12004
0,hardlim,learngdm,inc,100,0.100,0.05098,0.12004
0,hardlim,learngdm,inc,100,0.300,0.05098,0.12004
0,hardlim,learngdm,inc,100,0.500,0.05098,0.12004
0,hardlim,learngdm,inc,100,0.700,0.05098,0.12004
0,hardlim,learnh,inc,100,0.100,0.05098,0.12004
0,hardlim,learnh,inc,100,0.300,0.05098,0.12004
0,hardlim,learnh,inc,100,0.500,0.05098,0.12004
0,hardlim,learnh,inc,100,0.700,0.05098,0.12004
0,hardlim,learnhd,inc,100,0.100,0.05098,0.12004
0,hardlim,learnhd,inc,100,0.300,0.05098,0.12004
0,hardlim,learnhd,inc,100,0.500,0.05098,0.12004
0,hardlim,learnhd,inc,100,0.700,0.05098,0.12004
0,hardlim,learnwh,inc,100,0.100,0.05098,0.12004
0,hardlim,learnwh,inc,100,0.300,0.05098,0.12004
0,hardlim,learnwh,inc,100,0.500,0.05098,0.12004
0,hardlim,learnwh,inc,100,0.700,0.05098,0.12004
0,hardlim,traingd,batch,100,0.100,0.74731,0.74701
0,hardlim,traingd,batch,100,0.300,0.74731,0.74701
0,hardlim,traingd,batch,100,0.500,0.74731,0.74701
0,hardlim,traingd,batch,100,0.700,0.74731,0.74701
0,hardlim,traingda,batch,100,0.100,0.74731,0.74701
0,hardlim,traingda,batch,100,0.300,0.74731,0.74701
0,hardlim,traingda,batch,100,0.500,0.74731,0.74701
0,hardlim,traingda,batch,100,0.700,0.74731,0.74701
0,hardlim,traingdm,batch,100,0.100,0.74731,0.74701
0,hardlim,traingdm,batch,100,0.300,0.74731,0.74701
0,hardlim,traingdm,batch,100,0.500,0.74731,0.74701
0,hardlim,traingdm,batch,100,0.700,0.74731,0.74701
0,hardlim,trainscg,batch,100,0.100,0.74731,0.74701
0,hardlim,trainscg,batch,100,0.300,0.74731,0.74701
0,hardlim,trainscg,batch,100,0.500,0.74731,0.74701
